Theta1,Theta1_dot, Theta2, Theta2_dot
3.137551,0.001445,3.177316,0.148556
3.137559,0.001736,3.178069,0.151485
3.137569,0.002035,3.178838,0.154468
3.137580,0.002345,3.179621,0.157508
3.137592,0.002665,3.180420,0.160604
3.137606,0.002995,3.181235,0.163758
3.137622,0.003335,3.182066,0.166971
3.137639,0.003687,3.182913,0.170244
3.137659,0.004049,3.183776,0.173579
3.137680,0.004423,3.184657,0.176975
3.137703,0.004808,3.185555,0.180434
3.137728,0.005205,3.186470,0.183958
3.137755,0.005615,3.187403,0.187548
3.137784,0.006037,3.188354,0.191204
3.137815,0.006471,3.189324,0.194928
3.137849,0.006919,3.190313,0.198720
3.137884,0.007380,3.191321,0.202584
3.137922,0.007855,3.192349,0.206518
3.137963,0.008344,3.193396,0.210526
3.138006,0.008848,3.194464,0.214608
3.138052,0.009366,3.195552,0.218764
3.138100,0.009899,3.196662,0.222998
3.138151,0.010448,3.197793,0.227310
3.138204,0.011012,3.198946,0.231701
3.138261,0.011593,3.200121,0.236173
3.138321,0.012190,3.201319,0.240727
3.138383,0.012804,3.202540,0.245365
3.138449,0.013436,3.203785,0.250088
3.138518,0.014085,3.205053,0.254897
3.138590,0.014753,3.206346,0.259795
3.138666,0.015439,3.207664,0.264783
3.138745,0.016144,3.209007,0.269861
3.138827,0.016869,3.210375,0.275033
3.138914,0.017614,3.211770,0.280299
3.139004,0.018379,3.213192,0.285661
3.139098,0.019165,3.214641,0.291121
3.139196,0.019972,3.216117,0.296680
3.139298,0.020801,3.217622,0.302341
3.139405,0.021653,3.219155,0.308104
3.139516,0.022527,3.220718,0.313972
3.139631,0.023425,3.222310,0.319947
3.139750,0.024346,3.223933,0.326030
3.139875,0.025293,3.225586,0.332224
3.140004,0.026264,3.227271,0.338529
3.140138,0.027261,3.228988,0.344949
3.140278,0.028284,3.230737,0.351485
3.140422,0.029333,3.232520,0.358139
3.140572,0.030411,3.234336,0.364912
3.140727,0.031516,3.236187,0.371808
3.140888,0.032650,3.238072,0.378828
3.141055,0.033813,3.239993,0.385975
3.141227,0.035006,3.241951,0.393250
3.141406,0.036230,3.243945,0.400655
3.141591,0.037485,3.245977,0.408194
3.141782,0.038772,3.248047,0.415868
3.141980,0.040092,3.250156,0.423679
3.142184,0.041446,3.252304,0.431629
3.142396,0.042833,3.254493,0.439722
3.142614,0.044256,3.256723,0.447960
3.142840,0.045714,3.258995,0.456344
3.143073,0.047209,3.261309,0.464878
3.143314,0.048742,3.263666,0.473564
3.143562,0.050313,3.266068,0.482404
3.143818,0.051922,3.268514,0.491402
3.144083,0.053572,3.271006,0.500559
3.144356,0.055263,3.273544,0.509878
3.144638,0.056995,3.276129,0.519363
3.144928,0.058770,3.278763,0.529015
3.145228,0.060589,3.281445,0.538838
3.145536,0.062452,3.284178,0.548834
3.145854,0.064361,3.286961,0.559007
3.146182,0.066316,3.289795,0.569359
3.146520,0.068319,3.292682,0.579893
3.146868,0.070370,3.295623,0.590612
3.147226,0.072472,3.298617,0.601519
3.147595,0.074624,3.301668,0.612617
3.147975,0.076828,3.304774,0.623910
3.148367,0.079085,3.307937,0.635400
3.148769,0.081396,3.311159,0.647090
3.149184,0.083763,3.314440,0.658985
3.149610,0.086187,3.317782,0.671087
3.150049,0.088668,3.321184,0.683399
3.150500,0.091209,3.324649,0.695925
3.150964,0.093810,3.328178,0.708669
3.151442,0.096472,3.331771,0.721633
3.151933,0.099198,3.335430,0.734821
3.152438,0.101989,3.339156,0.748237
3.152957,0.104845,3.342949,0.761885
3.153490,0.107769,3.346812,0.775767
3.154038,0.110761,3.350746,0.789888
3.154602,0.113824,3.354750,0.804252
3.155181,0.116959,3.358828,0.818861
3.155776,0.120167,3.362980,0.833720
3.156387,0.123450,3.367207,0.848833
3.157015,0.126810,3.371510,0.864204
3.157660,0.130248,3.375892,0.879836
3.158323,0.133767,3.380353,0.895734
3.159003,0.137367,3.384894,0.911901
3.159702,0.141051,3.389517,0.928341
3.160419,0.144820,3.394224,0.945059
3.161156,0.148676,3.399015,0.962059
3.161912,0.152622,3.403893,0.979345
3.162688,0.156659,3.408858,0.996920
3.163485,0.160789,3.413912,1.014790
3.164302,0.165014,3.419057,1.032958
3.165141,0.169336,3.424294,1.051428
3.166002,0.173758,3.429624,1.070206
3.166886,0.178281,3.435050,1.089294
3.167792,0.182908,3.440572,1.108699
3.168722,0.187641,3.446193,1.128423
3.169676,0.192483,3.451914,1.148472
3.170654,0.197435,3.457736,1.168849
3.171658,0.202500,3.463661,1.189560
3.172687,0.207681,3.469692,1.210608
3.173743,0.212980,3.475829,1.231998
3.174825,0.218399,3.482075,1.253735
3.175935,0.223942,3.488431,1.275823
3.177074,0.229611,3.494898,1.298266
3.178241,0.235409,3.501480,1.321069
3.179437,0.241339,3.508177,1.344237
3.180663,0.247403,3.514991,1.367773
3.181921,0.253605,3.521925,1.391683
3.183209,0.259947,3.528980,1.415970
3.184530,0.266433,3.536158,1.440639
3.185884,0.273066,3.543461,1.465694
3.187271,0.279849,3.550891,1.491140
3.188693,0.286785,3.558450,1.516981
3.190150,0.293878,3.566140,1.543221
3.191643,0.301131,3.573962,1.569865
3.193173,0.308548,3.581920,1.596916
3.194741,0.316133,3.590015,1.624378
3.196347,0.323888,3.598249,1.652256
3.197992,0.331818,3.606625,1.680553
3.199677,0.339927,3.615143,1.709274
3.201404,0.348219,3.623808,1.738421
3.203173,0.356697,3.632620,1.767999
3.204984,0.365367,3.641582,1.798011
3.206840,0.374231,3.650696,1.828461
3.208741,0.383295,3.659964,1.859351
3.210687,0.392563,3.669389,1.890685
3.212681,0.402039,3.678972,1.922465
3.214723,0.411728,3.688717,1.954695
3.216814,0.421635,3.698625,1.987377
3.218955,0.431765,3.708698,2.020513
3.221147,0.442122,3.718940,2.054106
3.223392,0.452712,3.729351,2.088157
3.225691,0.463540,3.739935,2.122668
3.228044,0.474610,3.750694,2.157641
3.230454,0.485930,3.761630,2.193077
3.232921,0.497503,3.772746,2.228977
3.235447,0.509336,3.784044,2.265341
3.238032,0.521434,3.795526,2.302170
3.240680,0.533803,3.807194,2.339464
3.243389,0.546450,3.819051,2.377222
3.246163,0.559380,3.831100,2.415443
3.249003,0.572600,3.843342,2.454127
3.251909,0.586116,3.855781,2.493272
3.254884,0.599934,3.868417,2.532876
3.257929,0.614061,3.881254,2.572936
3.261045,0.628504,3.894295,2.613450
3.264235,0.643270,3.907540,2.654414
3.267500,0.658366,3.920993,2.695823
3.270841,0.673798,3.934655,2.737675
3.274260,0.689575,3.948530,2.779963
3.277759,0.705703,3.962619,2.822682
3.281340,0.722190,3.976924,2.865825
3.285004,0.739044,3.991447,2.909385
3.288754,0.756272,4.006192,2.953356
3.292591,0.773882,4.021159,2.997727
3.296517,0.791883,4.036350,3.042491
3.300535,0.810282,4.051768,3.087637
3.304645,0.829088,4.067415,3.133155
3.308851,0.848308,4.083293,3.179032
3.313154,0.867952,4.099402,3.225257
3.317557,0.888027,4.115746,3.271816
3.322061,0.908543,4.132325,3.318694
3.326669,0.929508,4.149142,3.365876
3.331383,0.950931,4.166197,3.413346
3.336206,0.972820,4.183493,3.461087
3.341139,0.995184,4.201031,3.509079
3.346186,1.018033,4.218811,3.557303
3.351348,1.041375,4.236835,3.605737
3.356629,1.065218,4.255104,3.654361
3.362030,1.089573,4.273620,3.703150
3.367554,1.114447,4.292382,3.752079
3.373205,1.139851,4.311392,3.801122
3.378983,1.165791,4.330649,3.850252
3.384894,1.192278,4.350156,3.899440
3.390938,1.219321,4.369910,3.948655
3.397118,1.246926,4.389914,3.997865
3.403439,1.275104,4.410167,4.047035
3.409902,1.303863,4.430668,4.096131
3.416510,1.333210,4.451417,4.145116
3.423267,1.363154,4.472414,4.193950
3.430175,1.393702,4.493657,4.242592
3.437238,1.424863,4.515146,4.291000
3.444458,1.456643,4.536879,4.339129
3.451839,1.489050,4.558856,4.386933
3.459384,1.522089,4.581074,4.434362
3.467096,1.555769,4.603531,4.481366
3.474978,1.590095,4.626225,4.527891
3.483034,1.625071,4.649154,4.573883
3.491266,1.660705,4.672314,4.619284
3.499679,1.697000,4.695704,4.664033
3.508275,1.733962,4.719319,4.708069
3.517058,1.771593,4.743155,4.751326
3.526031,1.809897,4.767210,4.793737
3.535197,1.848878,4.791478,4.835233
3.544561,1.888536,4.815954,4.875740
3.554124,1.928875,4.840634,4.915184
3.563892,1.969895,4.865512,4.953487
3.573867,2.011596,4.890583,4.990568
3.584053,2.053979,4.915839,5.026343
3.594452,2.097042,4.941275,5.060728
