Theta1,Theta1dot, Theta2, Theta2dot
-0.621602,2.665715,-2.281147,-3.318175
-0.608096,2.690717,-2.297667,-3.205684
-0.594468,2.714843,-2.313621,-3.093086
-0.580722,2.738056,-2.329008,-2.980487
-0.566863,2.760316,-2.343828,-2.867992
-0.552896,2.781588,-2.358082,-2.755710
-0.538826,2.801834,-2.371772,-2.643750
-0.524657,2.821022,-2.384899,-2.532218
-0.510395,2.839120,-2.397466,-2.421223
-0.496045,2.856097,-2.409475,-2.310869
-0.481614,2.871927,-2.420930,-2.201259
-0.467107,2.886586,-2.431835,-2.092494
-0.452529,2.900053,-2.442195,-1.984670
-0.437887,2.912310,-2.452013,-1.877880
-0.423187,2.923341,-2.461297,-1.772212
-0.408434,2.933134,-2.470050,-1.667749
-0.393635,2.941679,-2.478280,-1.564569
-0.378797,2.948968,-2.485993,-1.462744
-0.363925,2.954998,-2.493195,-1.362340
-0.349026,2.959765,-2.499895,-1.263419
-0.334106,2.963269,-2.506100,-1.166034
-0.319172,2.965513,-2.511817,-1.070235
-0.304229,2.966498,-2.517054,-0.976063
-0.289284,2.966230,-2.521820,-0.883556
-0.274343,2.964716,-2.526123,-0.792745
-0.259413,2.961962,-2.529972,-0.703654
-0.244499,2.957977,-2.533375,-0.616304
-0.229609,2.952771,-2.536341,-0.530710
-0.214747,2.946354,-2.538879,-0.446880
-0.199920,2.938735,-2.540998,-0.364820
-0.185134,2.929927,-2.542706,-0.284531
-0.170396,2.919941,-2.544013,-0.206009
-0.155710,2.908789,-2.544927,-0.129246
-0.141082,2.896481,-2.545458,-0.054231
-0.126519,2.883032,-2.545613,0.019050
-0.112027,2.868452,-2.545402,0.090616
-0.097610,2.852754,-2.544834,0.160487
-0.083274,2.835951,-2.543916,0.228686
-0.069026,2.818052,-2.542657,0.295239
-0.054870,2.799072,-2.541066,0.360173
-0.040812,2.779021,-2.539150,0.423519
-0.026857,2.757911,-2.536917,0.485307
-0.013010,2.735753,-2.534376,0.545570
0.000723,2.712558,-2.531533,0.604344
0.014336,2.688339,-2.528397,0.661663
0.027826,2.663104,-2.524974,0.717563
0.041186,2.636866,-2.521272,0.772083
0.054413,2.609634,-2.517297,0.825260
0.067500,2.581420,-2.513056,0.877132
0.080442,2.552232,-2.508556,0.927739
0.093236,2.522082,-2.503803,0.977120
0.105876,2.490979,-2.498803,1.025314
0.118358,2.458934,-2.493562,1.072363
0.130676,2.425955,-2.488086,1.118304
0.142826,2.392053,-2.482380,1.163179
0.154804,2.357238,-2.476450,1.207026
0.166605,2.321518,-2.470300,1.249886
0.178223,2.284904,-2.463935,1.291797
0.189656,2.247405,-2.457361,1.332799
0.200898,2.209030,-2.450582,1.372931
0.211945,2.169789,-2.443602,1.412231
0.222792,2.129692,-2.436424,1.450736
0.233436,2.088747,-2.429054,1.488485
0.243873,2.046965,-2.421495,1.525515
0.254097,2.004354,-2.413751,1.561863
0.264105,1.960925,-2.405824,1.597564
0.273892,1.916686,-2.397718,1.632654
0.283456,1.871647,-2.389436,1.667169
0.292791,1.825818,-2.380982,1.701144
0.301893,1.779207,-2.372356,1.734612
0.310760,1.731825,-2.363563,1.767608
0.319386,1.683680,-2.354604,1.800166
0.327769,1.634783,-2.345481,1.832317
0.335903,1.585141,-2.336197,1.864096
0.343787,1.534765,-2.326753,1.895533
0.351416,1.483664,-2.317151,1.926662
0.358785,1.431846,-2.307393,1.957513
0.365893,1.379320,-2.297479,1.988119
0.372735,1.326095,-2.287412,2.018510
0.379308,1.272180,-2.277191,2.048717
0.385608,1.217583,-2.266818,2.078772
0.391632,1.162312,-2.256294,2.108706
0.397376,1.106374,-2.245618,2.138549
0.402838,1.049778,-2.234792,2.168333
0.408013,0.992531,-2.223816,2.198090
0.412899,0.934639,-2.212690,2.227851
0.417493,0.876109,-2.201413,2.257649
0.421791,0.816947,-2.189986,2.287516
0.425790,0.757160,-2.178408,2.317485
0.429487,0.696751,-2.166679,2.347592
0.432879,0.635726,-2.154797,2.377870
0.435963,0.574089,-2.142761,2.408356
0.438736,0.511844,-2.130572,2.439087
0.441194,0.448993,-2.118227,2.470102
0.443335,0.385538,-2.105724,2.501440
0.445156,0.321482,-2.093063,2.533143
0.446654,0.256825,-2.080241,2.565254
0.447825,0.191568,-2.067256,2.597818
0.448667,0.125709,-2.054106,2.630884
0.449177,0.059247,-2.040788,2.664499
0.449351,-0.007819,-2.027299,2.698718
0.449188,-0.075494,-2.013636,2.733595
0.448683,-0.143780,-1.999796,2.769188
0.447834,-0.212683,-1.985775,2.805559
0.446637,-0.282209,-1.971569,2.842773
0.445090,-0.352363,-1.957173,2.880898
0.443189,-0.423154,-1.942584,2.920009
0.440932,-0.494589,-1.927795,2.960182
0.438315,-0.566677,-1.912802,3.001499
0.435334,-0.639428,-1.897598,3.044049
0.431987,-0.712851,-1.882177,3.087923
0.428271,-0.786957,-1.866532,3.133221
0.424181,-0.861758,-1.850657,3.180047
0.419714,-0.937263,-1.834542,3.228512
0.414868,-1.013484,-1.818181,3.278734
0.409638,-1.090431,-1.801563,3.330838
0.404021,-1.168115,-1.784679,3.384956
0.398013,-1.246544,-1.767520,3.441230
0.391611,-1.325727,-1.750073,3.499806
0.384810,-1.405668,-1.732327,3.560842
0.377608,-1.486372,-1.714269,3.624501
0.370001,-1.567838,-1.695887,3.690957
0.361984,-1.650064,-1.677166,3.760389
0.353554,-1.733040,-1.658090,3.832986
0.344708,-1.816752,-1.638644,3.908944
0.335443,-1.901182,-1.618811,3.988462
0.325753,-1.986299,-1.598572,4.071748
0.315638,-2.072067,-1.577909,4.159010
0.305092,-2.158439,-1.556801,4.250460
0.294114,-2.245354,-1.535227,4.346306
0.282702,-2.332740,-1.513166,4.446752
0.270852,-2.420510,-1.490593,4.551995
0.258564,-2.508560,-1.467486,4.662217
0.245835,-2.596770,-1.443818,4.777582
0.232667,-2.684999,-1.419564,4.898228
0.219059,-2.773090,-1.394699,5.024263
0.205012,-2.860863,-1.369194,5.155753
0.190527,-2.948121,-1.343023,5.292717
0.175609,-3.034644,-1.316159,5.435118
0.160260,-3.120197,-1.288575,5.582852
0.144486,-3.204526,-1.260245,5.735739
0.128294,-3.287361,-1.231143,5.893518
0.111690,-3.368421,-1.201246,6.055836
0.094685,-3.447415,-1.170532,6.222242
0.077288,-3.524047,-1.138981,6.392184
0.059511,-3.598016,-1.106576,6.565005
0.041368,-3.669023,-1.073304,6.739942
0.022875,-3.736773,-1.039155,6.916127
0.004046,-3.800977,-1.004124,7.092593
-0.015100,-3.861354,-0.968211,7.268280
-0.034544,-3.917634,-0.931420,7.442045
-0.054266,-3.969558,-0.893762,7.612674
-0.074243,-4.016879,-0.855255,7.778896
-0.094454,-4.059362,-0.815921,7.939398
-0.114873,-4.096784,-0.775790,8.092848
-0.135475,-4.128932,-0.734899,8.237912
-0.156235,-4.155604,-0.693290,8.373278
-0.177124,-4.176610,-0.651013,8.497677
-0.198114,-4.191767,-0.608125,8.609909
-0.219176,-4.200903,-0.564687,8.708868
-0.240280,-4.203856,-0.520766,8.793563
-0.261394,-4.200474,-0.476435,8.863142
-0.282487,-4.190617,-0.431770,8.916914
-0.303526,-4.174155,-0.386851,8.954366
-0.324478,-4.150975,-0.341761,8.975178
-0.345308,-4.120975,-0.296582,8.979235
-0.365983,-4.084075,-0.251400,8.966632
-0.386468,-4.040210,-0.206297,8.937678
-0.406728,-3.989339,-0.161355,8.892890
-0.426726,-3.931443,-0.116655,8.832986
-0.446429,-3.866532,-0.072271,8.758869
-0.465800,-3.794642,-0.028273,8.671613
-0.484804,-3.715841,0.015272,8.572434
-0.503406,-3.630231,0.058306,8.462672
-0.521572,-3.537949,0.100776,8.343755
-0.539269,-3.439169,0.142638,8.217173
-0.556462,-3.334104,0.183854,8.084448
-0.573122,-3.223004,0.224395,7.947098
-0.589217,-3.106160,0.264238,7.806611
-0.604719,-2.983896,0.303368,7.664417
-0.619600,-2.856572,0.341778,7.521860
-0.633835,-2.724578,0.379468,7.380179
-0.647401,-2.588327,0.416442,7.240488
-0.660276,-2.448252,0.452712,7.103762
-0.672441,-2.304801,0.488294,6.970831
-0.683879,-2.158423,0.523207,6.842375
-0.694576,-2.009568,0.557475,6.718922
-0.704520,-1.858674,0.591123,6.600855
-0.713701,-1.706167,0.624179,6.488420
-0.722110,-1.552449,0.656672,6.381735
-0.729743,-1.397896,0.688631,6.280807
-0.736595,-1.242858,0.720084,6.185541
-0.742664,-1.087649,0.751062,6.095759
-0.747949,-0.932553,0.781591,6.011213
-0.752452,-0.777822,0.811698,5.931599
-0.756175,-0.623673,0.841408,5.856571
-0.759120,-0.470295,0.870743,5.785754
-0.761292,-0.317849,0.899725,5.718753
-0.762695,-0.166468,0.928373,5.655160
-0.763336,-0.016263,0.956703,5.594566
-0.763221,0.132675,0.984730,5.536564
-0.762355,0.280276,1.012469,5.480754
-0.760746,0.426481,1.039928,5.426749
